player_name,competition,current_team,oversees,value,role,bowler_type,games_played,runs_scored,innings,times_out,balls_faced,fours,sixes,high_score,sets,balls_bowled,runs_conceded,outs,extras,catches,POMs
C Brewer,womens,Birmingham Phoenix,FALSE,D,Bowler,Right-arm Medium-Fast,1,0,0,1,0,0,0,0,2,10,26,0,1,0,0
N de Klerk,womens,Free Agent,TRUE,A,Allrounder,Right-arm Medium,2,56,2,1,30,9,1,51,7,35,55,2,2,0,1
Imad Wasim,mens,Trent Rockets,TRUE,B,Allrounder,Left-arm Orthodox Spin,2,27,2,1,26,3,0,26,7,35,27,2,0,1,0
LWP Wells,mens,Welsh Fire,FALSE,D,Allrounder,Slow left-arm Orthodox,7,109,7,6,67,12,5,57,7,35,61,1,6,0,1
SS Eskinazi,mens,Welsh Fire,FALSE,C,Batter,,8,208,8,7,134,19,8,58,,,,,,2,1
BGF Green,mens,Welsh Fire,FALSE,B,Allrounder,Right-arm Fast-Medium,5,51,3,5,42,1,3,25,8,40,50,2,2,3,0
Shaheen Shah Afridi,mens,Welsh Fire,TRUE,S,Bowler,Left-arm Fast,6,5,2,4,7,0,0,3,20,100,126,6,1,1,0
Haris Rauf,mens,Welsh Fire,TRUE,B,Bowler,Right-arm Fast,6,0,1,6,1,0,0,0,20,100,125,6,4,1,0
MDE Holden,mens,Manchester Originals,FALSE,D,Batter,,8,154,8,8,97,18,4,37,,,,,,0,0
J Overton,mens,Manchester Originals,FALSE,B,Allrounder,Right-arm Medium-Fast,10,202,9,6,111,17,12,83,17,85,114,3,4,6,1
Usama Mir,mens,Manchester Originals,TRUE,A,Bowler,Leg-break,6,41,4,4,23,6,1,32,16,80,139,6,8,0,1
JC Tongue,mens,Manchester Originals,FALSE,C,Bowler,Right-arm Fast-Medium,5,0,0,5,0,0,0,0,15.2,76,125,7,6,2,0
DJ Mitchell,mens,London Spirit,TRUE,S,Bowler,Right-arm Fast-Medium,8,136,6,7,104,10,4,57,8.2,41,77,3,3,3,0
DJ Worrall,mens,London Spirit,FALSE,D,Bowler,Right-arm Fast-Medium,7,0,1,6,1,0,0,0,24.2,121,151,9,11,1,0
H Klaasen,mens,Free Agent,TRUE,B,Batter,,7,189,7,6,106,6,17,60,,,,,,3,1
AAP Atkinson,mens,Oval Invincibles,FALSE,D,Allrounder,Right-arm Medium-Fast,6,3,1,5,4,0,0,3,23,115,172,10,14,1,0
ZJ Chappell,mens,Oval Invincibles,FALSE,C,Allrounder,Right-arm Medium,4,0,1,4,1,0,0,0,11,55,98,7,4,0,0
JL Smith,mens,Birmingham Phoenix,FALSE,D,Allrounder,Right-arm Fast-Medium,7,191,7,7,119,15,11,60,,,,,,4,1
Shadab Khan,mens,Free Agent,TRUE,B,Allrounder,Right-arm Leg-spin,3,6,3,3,13,0,0,4,7,35,55,1,0,1,0
MW Short,mens,Northern Superchargers,TRUE,A,Allrounder,Left-arm Medium-Fast,8,150,7,8,90,15,7,73,9,45,71,2,1,3,1
SA Zaib,mens,Northern Superchargers,FALSE,D,Allrounder,Left-arm Orthodox Spin,6,60,4,6,51,4,2,21,,,,,,2,0
JJ Weatherley,mens,Southern Brave,FALSE,C,Batter,,4,8,2,3,7,1,0,8,,,,,,2,0
SH Johnson,mens,Free Agent,FALSE,D,Allrounder,Right-arm Medium-Fast,6,1,1,5,1,0,0,1,20,100,129,5,11,0,0
CR Woakes,mens,Birmingham Phoenix,FALSE,ccp,Allrounder,Right-arm Fast-Medium,3,20,3,2,20,0,1,16,11,55,71,2,4,0,0
JA Turner,mens,Free Agent,TRUE,B,Allrounder,Right-arm Medium,1,0,0,1,0,0,0,0,4,20,22,3,2,0,0
TS Muyeye,mens,Oval Invincibles,FALSE,D,Batter,,3,11,2,3,13,1,0,11,,,,,,2,0
Zaman Khan,mens,Manchester Originals,TRUE,B,Allrounder,Right-arm Fast-Medium,5,0,0,5,0,0,0,0,17,85,148,2,10,1,0
MJ Henry,mens,Free Agent,TRUE,B,Bowler,Right-arm Fast,2,0,0,2,0,0,0,0,7,35,27,3,5,1,0
MJ Santner,mens,Southern Brave,TRUE,B,Allrounder,Slow left-arm Orthodox,2,0,0,2,0,0,0,0,7,35,37,1,1,1,0
TG Southee,mens,Free Agent,TRUE,A,Bowler,Right-arm Fast-Medium,1,3,1,1,4,0,0,3,4,20,23,3,0,0,0
MA Wood,mens,London Spirit,FALSE,ccp,Bowler,Right-arm fast,0,,0,0,,0,0,,,,,,,0,0
OE Robinson,mens,Northern Superchargers,FALSE,B,Bowler,Right-arm Medium-Fast,0,,0,0,,0,0,,,,,,,0,0
B de Leede,mens,Northern Superchargers,FALSE,D,Allrounder,Right-arm Fast-Medium,0,,0,0,,0,0,,,,,,,0,0
Ihsanullah,mens,Oval Invincibles,TRUE,C,Bowler,Right-arm Fast,0,,0,0,,0,0,,,,,,,0,0
JC Archer,mens,Southern Brave,FALSE,ccp,Bowler,Right-arm Fast,0,,0,0,,0,0,,,,,,,0,0
JA Chohan,mens,Southern Brave,FALSE,D,Bowler,Leg-break,0,,0,0,,0,0,,,,,,,0,0
DST Perrin,womens,Birmingham Phoenix,FALSE,D,Allrounder,Leg-break,0,,0,0,,0,0,,,,,,,0,0
L Heap,womens,Manchester Originals,FALSE,D,Batter,Right-arm Off-spin,0,,0,0,,0,0,,,,,,,0,0
G Hall,womens,Northern Superchargers,FALSE,D,Allrounder,Right-arm Off-spin,0,,0,0,,0,0,,,,,,,0,0
A Cranstone,womens,Northern Superchargers,FALSE,D,Batter,,0,,0,0,,0,0,,,,,,,0,0
H Rainey,womens,Oval Invincibles,FALSE,D,Bowler,Right-arm medium,0,,0,0,,0,0,,,,,,,0,0
C Cooper,womens,Oval Invincibles,FALSE,D,Allrounder,Right-arm Off-spin,0,,0,0,,0,0,,,,,,,0,0
Seren Smale,womens,Southern Brave,FALSE,D,Wicket Keeper,,0,,0,0,,0,0,,,,,,,0,0
E Anderson,womens,Southern Brave,FALSE,D,Bowler,Right-arm Fast-Medium,0,,0,0,,0,0,,,,,,,0,0
JP Groves,womens,Trent Rockets,FALSE,D,Bowler,Leg-break,0,,0,0,,0,0,,,,,,,0,0
C Skelton,womens,Welsh Fire,FALSE,D,Allrounder,Right-arm Off-spin,0,,0,0,,0,0,,,,,,,0,0
KL Coppack,womens,Welsh Fire,FALSE,D,Bowler,Right-arm Fast-Medium,0,,0,0,,0,0,,,,,,,0,0
TE Lawes,mens,Oval Invincibles,FALSE,D,Allrounder,Right-arm Fast-Medium,0,,0,0,,0,0,,,,,,,0,0
C Hill,womens,London Spirit,FALSE,D,Wicket Keeper,,0,,0,0,,0,0,,,,,,,0,0
