timestamp,household_usage,kitchen,heating,laundry
1/1/2023 0:00,2.550633333,0,0,0.583333333
1/1/2023 1:00,2.5234,0,0,0
1/1/2023 2:00,2.582333333,0,0,0.333333333
1/1/2023 3:00,2.541666667,0,0,0.266666667
1/1/2023 4:00,2.475733333,0,0,0
1/1/2023 5:00,2.476233333,0,0,0.583333333
1/1/2023 6:00,2.4558,0,0,0
1/1/2023 7:00,2.4472,0,0,0.55
1/1/2023 8:00,2.441733333,0,0,0.05
1/1/2023 9:00,3.146133333,0,12.03333333,0
1/1/2023 10:00,2.661733333,0,2.483333333,0.583333333
1/1/2023 11:00,2.576,0,0,0
1/1/2023 12:00,2.615866667,0,0,0.566666667
1/1/2023 13:00,2.1624,0,0,0
1/1/2023 14:00,1.2944,0,9.05,0.233333333
1/1/2023 15:00,1.909166667,0,17.48333333,0.35
1/1/2023 16:00,1.3901,0,17.55,0
1/1/2023 17:00,1.632066667,0,17.28333333,0.583333333
1/1/2023 18:00,1.4619,0,17.4,0
1/1/2023 19:00,0.7323,0,4.716666667,0.466666667
1/1/2023 20:00,0.4123,0,0,0.116666667
1/1/2023 21:00,0.433933333,0,0,0
1/1/2023 22:00,0.443733333,0,0,0.6
1/1/2023 23:00,0.449966667,0,0,0
1/2/2023 0:00,0.446433333,0,0,0.583333333
1/2/2023 1:00,0.436733333,0,0,0
1/2/2023 2:00,0.431566667,0,0,0
1/2/2023 3:00,0.464166667,0,0,0.583333333
1/2/2023 4:00,1.039966667,0,9.983333333,0
1/2/2023 5:00,0.7106,0,4.45,0.566666667
1/2/2023 6:00,0.446966667,0,0,0
1/2/2023 7:00,0.412566667,0,0,0.033333333
1/2/2023 8:00,0.4544,0,0,0.533333333
1/2/2023 9:00,0.417633333,0,0,0
1/2/2023 10:00,0.4459,0,0,0.583333333
1/2/2023 11:00,0.432766667,0,0,0
1/2/2023 12:00,0.425966667,0,0,0.066666667
1/2/2023 13:00,0.459,0,0,0.5
1/2/2023 14:00,0.438433333,0,0,0
1/2/2023 15:00,1.4381,0,15.88333333,0.633333333
1/2/2023 16:00,1.459066667,0,15.76666667,0
1/2/2023 17:00,2.1362,0,8.416666667,0.066666667
1/2/2023 18:00,1.972066667,0,17.3,0.5
1/2/2023 19:00,1.5183,0,17.55,0
1/2/2023 20:00,2.573533333,0,17.41666667,0.583333333
1/2/2023 21:00,1.321433333,0,2.6,0
1/2/2023 22:00,0.528233333,0,0,0.45
1/2/2023 23:00,0.7439,0,0,0.116666667
1/3/2023 0:00,1.125433333,0,0,0
1/3/2023 1:00,0.9007,0,0,0.566666667
1/3/2023 2:00,0.304833333,0,0,0
