transaction_id,sale_id,product_id,member_id,sale_date
AAA118146,1,ojean,jbon3303,2023-10-01
AAA118147,1,vh_white,,2023-10-01
AAA118148,1,vt_black,jgon2541,2023-10-01
AAA118148,2,vh_white,jgon2541,2023-10-01
AAA118148,3,pjean,jgon2541,2023-10-01
AAA118149,1,ppolo,apat1921,2023-10-01
AAA118150,1,pt_grey,,2023-10-01
AAA118150,2,opolo,,2023-10-01
AAA118150,3,ot_white,,2023-10-01
AAA118151,1,ot_grey,chud2976,2023-10-01
AAA118151,2,pt_black,chud2976,2023-10-01
AAA118151,3,oh_white,chud2976,2023-10-01
AAA118152,1,pt_white,,2023-10-01
AAA118153,1,oh_grey,cdon5379,2023-10-01
AAA118154,1,pt_black,,2023-10-01
AAA118155,1,pjean,,2023-10-01
AAA118156,1,ot_grey,,2023-10-01
AAA118157,1,opolo,kgay9073,2023-10-01
AAA118158,1,vt_black,,2023-10-01
AAA118158,2,ppolo,,2023-10-01
AAA118158,3,vt_white,,2023-10-01
AAA118158,4,ot_black,,2023-10-01
AAA118159,1,ot_black,,2023-10-01
AAA118160,1,vh_white,,2023-10-01
AAA118161,1,ph_white,,2023-10-01
AAA118162,1,opolo,jalv7949,2023-10-01
AAA118162,2,opolo,jalv7949,2023-10-01
AAA118162,3,opolo,jalv7949,2023-10-01
AAA118163,1,ot_black,,2023-10-01
AAA118163,2,oh_white,,2023-10-01
AAA118163,3,ot_black,,2023-10-01
AAA118164,1,ot_grey,,2023-10-01
AAA118164,2,ot_white,,2023-10-01
AAA118165,1,ph_white,,2023-10-01
AAA118166,1,vt_grey,jham9240,2023-10-01
AAA118166,2,pt_grey,jham9240,2023-10-01
AAA118167,1,ot_grey,,2023-10-01
AAA118168,1,ot_black,,2023-10-01
AAA118169,1,ot_white,,2023-10-01
AAA118169,2,pt_black,,2023-10-01
AAA118169,3,ot_grey,,2023-10-01
AAA118170,1,ot_white,,2023-10-01
AAA118171,1,opolo,,2023-10-01
AAA118172,1,pt_black,rwol4279,2023-10-01
AAA118172,2,ot_grey,rwol4279,2023-10-01
AAA118172,3,opolo,rwol4279,2023-10-01
AAA118173,1,vpolo,vbus1463,2023-10-01
AAA118174,1,ppolo,,2023-10-01
AAA118174,2,ot_black,,2023-10-01
AAA118174,3,vh_black,,2023-10-01
AAA118174,4,ot_black,,2023-10-01
AAA118175,1,vt_grey,mmil9870,2023-10-01
AAA118175,2,vh_white,mmil9870,2023-10-01
AAA118175,3,pt_black,mmil9870,2023-10-01
AAA118175,4,pt_grey,mmil9870,2023-10-01
AAA118175,5,vt_white,mmil9870,2023-10-01
AAA118176,1,vh_black,,2023-10-01
AAA118176,2,oh_black,,2023-10-01
AAA118176,3,pt_grey,,2023-10-01
AAA118177,1,ot_grey,bbro1532,2023-10-01
AAA118178,1,ph_grey,,2023-10-01
AAA118179,1,vt_white,,2023-10-01
AAA118180,1,ojean,anie3801,2023-10-01
AAA118181,1,vt_black,cbla3118,2023-10-01
AAA118181,2,ph_white,cbla3118,2023-10-01
AAA118181,3,ot_grey,cbla3118,2023-10-01
AAA118182,1,vt_white,twei2787,2023-10-01
AAA118183,1,ppolo,,2023-10-01
AAA118184,1,vh_white,,2023-10-01
AAA118185,1,vpolo,amil6834,2023-10-01
AAA118186,1,pt_grey,scol4403,2023-10-01
AAA118186,2,vpolo,scol4403,2023-10-01
AAA118186,3,ot_grey,scol4403,2023-10-01
AAA118187,1,vpolo,,2023-10-01
AAA118187,2,oh_black,,2023-10-01
AAA118188,1,vpolo,ledw5583,2023-10-01
AAA118189,1,opolo,,2023-10-01
AAA118190,1,opolo,,2023-10-01
AAA118190,2,pt_black,,2023-10-01
AAA118190,3,vt_black,,2023-10-01
AAA118191,1,vt_white,,2023-10-01
AAA118192,1,oh_grey,,2023-10-01
AAA118193,1,vpolo,,2023-10-01
AAA118193,2,pt_white,,2023-10-01
AAA118193,3,vt_black,,2023-10-01
AAA118193,4,vt_black,,2023-10-01
AAA118193,5,ot_black,,2023-10-01
AAA118194,1,vt_black,kmil2269,2023-10-01
AAA118194,2,ot_black,kmil2269,2023-10-01
AAA118195,1,ot_black,,2023-10-01
AAA118195,2,ot_black,,2023-10-01
AAA118196,1,ot_black,,2023-10-01
AAA118197,1,ojean,,2023-10-01
AAA118198,1,ph_white,kmcc6228,2023-10-01
AAA118198,2,pt_black,kmcc6228,2023-10-01
AAA118198,3,opolo,kmcc6228,2023-10-01
AAA118199,1,ot_white,dpar5700,2023-10-01
AAA118199,2,ot_black,dpar5700,2023-10-01
AAA118199,3,ppolo,dpar5700,2023-10-01
AAA118200,1,ot_white,,2023-10-01
AAA118200,2,ot_grey,,2023-10-01
AAA118201,1,ot_grey,,2023-10-01
AAA118202,1,pt_grey,,2023-10-01
AAA118202,2,pt_grey,,2023-10-01
AAA118202,3,ppolo,,2023-10-01
AAA118203,1,pt_white,aras2626,2023-10-01
AAA118204,1,ot_black,,2023-10-01
AAA118205,1,oh_black,jhol8595,2023-10-01
AAA118206,1,ojean,,2023-10-01
AAA118207,1,ot_grey,,2023-10-01
AAA118207,2,ot_white,,2023-10-01
AAA118207,3,vt_white,,2023-10-01
AAA118208,1,oh_black,,2023-10-01
AAA118209,1,opolo,,2023-10-01
AAA118209,2,ojean,,2023-10-01
AAA118209,3,vh_white,,2023-10-01
AAA118210,1,pjean,,2023-10-01
AAA118211,1,pt_white,lnel2676,2023-10-01
AAA118212,1,pjean,,2023-10-01
AAA118213,1,ppolo,,2023-10-01
AAA118213,2,ph_black,,2023-10-01
AAA118214,1,ot_white,,2023-10-01
AAA118215,1,ot_white,jsim9858,2023-10-01
AAA118215,2,ppolo,jsim9858,2023-10-01
AAA118215,3,pt_black,jsim9858,2023-10-01
AAA118216,1,vt_grey,dsha9232,2023-10-01
AAA118216,2,oh_black,dsha9232,2023-10-01
AAA118216,3,vh_grey,dsha9232,2023-10-01
AAA118216,4,opolo,dsha9232,2023-10-01
AAA118216,5,pt_white,dsha9232,2023-10-01
AAA118217,1,ot_grey,,2023-10-01
AAA118218,1,pt_black,,2023-10-01
AAA118219,1,oh_white,,2023-10-01
AAA118219,2,pt_black,,2023-10-01
AAA118219,3,vjean,,2023-10-01
AAA118220,1,vt_white,,2023-10-01
AAA118221,1,vt_grey,csmi8505,2023-10-01
AAA118221,2,pt_white,csmi8505,2023-10-01
AAA118221,3,pjean,csmi8505,2023-10-01
AAA118221,4,vjean,csmi8505,2023-10-01
AAA118222,1,vt_grey,,2023-10-01
AAA118223,1,vt_white,,2023-10-01
AAA118223,2,pt_white,,2023-10-01
AAA118223,3,opolo,,2023-10-01
AAA118224,1,pt_white,sram9337,2023-10-01
AAA118225,1,vh_grey,,2023-10-01
AAA118226,1,oh_grey,cmon4895,2023-10-01
AAA118226,2,ot_white,cmon4895,2023-10-01
AAA118227,1,ot_grey,,2023-10-01
AAA118228,1,oh_white,,2023-10-01
AAA118229,1,ph_black,,2023-10-01
AAA118229,2,ot_white,,2023-10-01
AAA118229,3,ot_black,,2023-10-01
AAA118230,1,ot_white,,2023-10-01
AAA118230,2,ot_grey,,2023-10-01
AAA118231,1,vt_white,,2023-10-01
AAA118231,2,ot_grey,,2023-10-01
AAA118231,3,vt_grey,,2023-10-01
AAA118232,1,vt_black,bcom6698,2023-10-01
AAA118233,1,ph_black,ajoh2724,2023-10-01
AAA118233,2,pt_white,ajoh2724,2023-10-01
AAA118233,3,ojean,ajoh2724,2023-10-01
AAA118234,1,vh_black,dwil4934,2023-10-01
AAA118235,1,vjean,,2023-10-01
AAA118236,1,opolo,nsmi4762,2023-10-01
AAA118236,2,ojean,nsmi4762,2023-10-01
AAA118236,3,pt_grey,nsmi4762,2023-10-01
AAA118237,1,ot_white,,2023-10-01
AAA118238,1,vjean,,2023-10-01
AAA118239,1,ot_black,,2023-10-01
AAA118240,1,ot_grey,wdav4068,2023-10-01
AAA118241,1,vt_white,,2023-10-01
AAA118242,1,opolo,,2023-10-01
AAA118242,2,vt_black,,2023-10-01
AAA118242,3,vt_black,,2023-10-01
AAA118242,4,opolo,,2023-10-01
