player_name,gender,current_team,games_played,runs_scored,innings,not_outs,balls_faced,fours,sixes,high_score,balls_bowled,runs_conceded,best_bowling,extras,catches,POMs
PR Stirling,male,Oval Invincibles,10,216,9,1.0,136,22,12,74.0,63,68,10-1,1,2,1
GG White,male,Welsh Fire,3,17,2,1.0,12,1,1,14.0,45,90,21-0,6,1,0
LJ Fletcher,male,Trent Rockets,6,6,2,1.0,5,1,0,4.0,90,144,22-2,6,1,0
Wahab Riaz,male,Northern Superchargers,2,0,0,,0,0,0,,30,45,30-5,0,1,0
AJ Blake,male,Oval Invincibles,3,54,3,1.0,39,2,4,44.0,0,0,,0,2,0
SJ Cook,male,Trent Rockets,16,1,1,1.0,1,0,0,1.0,276,421,19-4,12,6,1
JB Cracknell,male,London Spirit,3,55,3,,41,5,2,35.0,0,0,,0,2,0
BTJ Wheal,male,London Spirit,6,0,0,,0,0,0,,103,145,17-5,3,1,1
DL Lloyd,male,Welsh Fire,2,6,2,,7,0,1,6.0,0,0,,0,0,0
DY Pennington,male,Birmingham Phoenix,3,0,0,,0,0,0,,40,74,12-2,0,4,0
D Wiese,male,Northern Superchargers,17,233,16,3.0,141,10,18,54.0,225,407,15-3,13,8,2
DA Douthwaite,male,Manchester Originals,1,4,1,,10,0,0,4.0,0,0,,0,0,0
MD Fisher,male,Southern Brave,3,0,1,,1,0,0,0.0,34,50,24-1,2,0,0
TB Abell,male,Welsh Fire,9,112,7,3.0,93,9,3,37.0,0,0,,0,4,1
JW Dernbach,male,London Spirit,1,0,0,,0,0,0,,15,23,23-0,0,0,0
TH David,male,Southern Brave,17,196,14,4.0,115,15,13,44.0,15,32,,0,5,0
DG Bedingham,male,Birmingham Phoenix,1,0,1,,2,0,0,0.0,0,0,,0,1,0
L Lee,female,Trent Rockets,20,549,20,3.0,420,76,14,68.0,0,0,,0,8,2
EL Lamb,female,Manchester Originals,19,330,19,,285,42,4,57.0,185,262,16-3,3,3,0
GEB Boyce,female,Manchester Originals,5,37,3,,45,4,0,21.0,0,0,,0,1,0
H Kaur,female,Trent Rockets,10,176,9,2.0,171,16,1,49.0,15,30,,0,3,0
M du Preez,female,Trent Rockets,14,185,14,4.0,173,17,4,32.0,0,0,,0,0,0
S Ecclestone,female,Manchester Originals,18,192,15,5.0,139,18,8,36.0,344,382,8-4,11,4,1
KL Cross,female,Northern Superchargers,23,47,10,4.0,45,4,1,15.0,443,561,21-4,33,7,1
CL Griffith,female,Oval Invincibles,17,98,13,5.0,75,8,3,30.0,0,0,,0,3,0
E Threlkeld,female,Manchester Originals,19,77,8,4.0,79,6,0,17.0,0,0,,0,8,0
L Jackson,female,Manchester Originals,3,2,1,1.0,2,0,0,2.0,45,72,27-2,7,1,0
A Hartley,female,Welsh Fire,17,3,2,2.0,5,0,0,2.0,315,408,29-3,14,3,0
GL Adams,female,Southern Brave,26,369,22,3.0,313,34,10,50.0,325,367,11-4,2,9,4
A Capsey,female,Oval Invincibles,22,380,21,3.0,290,52,7,59.0,270,288,15-3,5,13,2
GJ Gibbs,female,Oval Invincibles,9,46,5,2.0,40,6,0,21.0,40,61,24-2,8,6,0
FC Wilson,female,Trent Rockets,22,201,21,1.0,218,22,0,25.0,0,0,,0,2,0
D van Niekerk,female,Oval Invincibles,14,324,12,4.0,295,41,3,67.0,165,187,30-3,0,8,1
M Kapp,female,Oval Invincibles,16,423,16,6.0,332,48,9,64.0,298,304,9-4,23,6,3
MK Villiers,female,Oval Invincibles,23,112,16,5.0,102,8,2,22.0,275,361,12-4,7,6,1
SJ Bryce,female,Welsh Fire,23,269,14,6.0,239,24,4,44.0,0,0,,0,11,0
NE Farrant,female,Oval Invincibles,9,7,3,1.0,8,0,0,4.0,179,188,11-4,6,3,2
S Ismail,female,Welsh Fire,21,13,2,1.0,16,2,0,8.0,396,454,12-3,26,4,2
D Gregory,female,Oval Invincibles,5,1,1,1.0,1,0,0,1.0,50,73,13-1,1,1,0
KM Mack,female,Birmingham Phoenix,9,100,8,,99,9,0,31.0,0,0,,0,3,0
Shafali Verma,female,Birmingham Phoenix,8,171,8,1.0,120,24,2,76.0,0,0,,0,2,1
E Jones,female,Birmingham Phoenix,22,415,21,1.0,393,52,4,64.0,5,7,7-1,0,4,2
EL Arlott,female,Birmingham Phoenix,21,119,14,5.0,108,7,3,22.0,314,377,16-3,23,3,0
AE Jones,female,Birmingham Phoenix,22,462,21,4.0,339,61,3,48.0,0,0,,0,4,1
EA Burns,female,Birmingham Phoenix,18,267,17,1.0,225,36,1,45.0,260,322,15-2,13,5,1
GA Elwiss,female,Welsh Fire,22,185,15,4.0,170,17,0,33.0,286,382,29-3,8,5,0
IECM Wong,female,Birmingham Phoenix,19,133,16,2.0,113,6,6,27.0,242,352,25-2,36,2,0
GM Davies,female,Birmingham Phoenix,13,56,7,1.0,55,8,0,20.0,0,0,,0,4,0
KL Gordon,female,Trent Rockets,22,29,7,5.0,24,2,0,11.0,395,480,14-3,14,6,1
AH Maqsood,female,Birmingham Phoenix,15,5,5,4.0,9,0,0,2.0,200,264,14-2,4,0,0
ND Dattani,female,Trent Rockets,20,183,18,4.0,200,16,2,38.0,105,200,24-2,10,0,1
DJS Dottin,female,Manchester Originals,18,405,18,3.0,308,46,16,68.0,109,156,22-2,12,3,2
HC Knight,female,London Spirit,13,326,13,1.0,262,44,2,44.0,90,102,17-2,1,3,0
DB Sharma,female,London Spirit,8,77,5,1.0,68,6,0,34.0,155,137,10-2,8,1,1
CL Tryon,female,Southern Brave,16,112,14,4.0,111,9,1,23.0,195,243,26-2,4,4,0
SE Rowe,female,London Spirit,3,0,2,,3,0,0,0.0,0,0,,0,0,0
CE Dean,female,London Spirit,20,99,12,3.0,91,13,0,18.0,335,412,14-2,6,6,0
AD Carr,female,Manchester Originals,7,19,3,2.0,22,2,0,11.0,0,0,,0,0,0
DR Gibson,female,London Spirit,20,300,20,5.0,197,45,6,36.0,233,335,11-2,21,10,1
FR Davies,female,Welsh Fire,21,22,7,1.0,37,1,0,8.0,351,474,25-3,20,3,0
AZ Monaghan,female,London Spirit,14,11,5,,15,1,0,4.0,0,0,,0,6,0
DN Wyatt,female,Southern Brave,26,680,26,2.0,500,97,12,69.0,20,31,17-2,2,13,5
S Mandhana,female,Southern Brave,24,616,24,3.0,442,85,14,78.0,0,0,,0,15,3
SIR Dunkley,female,Welsh Fire,24,699,23,4.0,524,82,11,68.0,65,89,15-2,1,9,4
SR Taylor,female,Southern Brave,9,182,9,5.0,179,15,1,45.0,115,149,15-1,8,1,1
ME Bouchier,female,Southern Brave,26,448,23,8.0,343,49,8,63.0,0,0,,0,16,1
A Wellington,female,Manchester Originals,23,99,10,3.0,80,12,1,33.0,445,503,12-4,8,6,2
A Shrubsole,female,Southern Brave,26,55,7,4.0,48,5,2,40.0,459,526,13-4,29,2,0
FMK Morris,female,Manchester Originals,17,92,9,1.0,91,11,0,50.0,221,248,7-5,5,2,1
CE Rudd,female,Southern Brave,17,12,3,3.0,11,0,0,7.0,0,0,,0,4,0
TG Norris,female,London Spirit,12,22,2,1.0,27,2,0,11.0,108,157,19-2,11,3,1
LK Bell,female,Southern Brave,24,10,3,,13,2,0,5.0,459,561,10-4,52,2,1
RH Priest,female,Trent Rockets,7,138,7,,101,20,5,76.0,0,0,,0,1,1
SJ Johnson,female,Trent Rockets,7,120,7,,105,10,7,33.0,134,160,16-4,5,5,0
NR Sciver,female,Trent Rockets,20,664,20,5.0,482,83,12,81.0,180,293,21-2,21,7,2
KH Brunt,female,Trent Rockets,18,176,14,3.0,188,15,1,43.0,317,379,15-2,19,7,0
H Graham,female,Northern Superchargers,10,164,10,3.0,127,17,2,44.0,145,179,16-5,13,6,1
AJ Freeborn,female,Birmingham Phoenix,21,152,15,5.0,145,18,0,45.0,0,0,,0,4,0
S Glenn,female,London Spirit,20,75,13,3.0,67,5,2,23.0,350,445,15-3,9,9,0
KE Bryce,female,Manchester Originals,19,64,10,6.0,61,7,0,32.0,200,265,2-3,10,4,1
LF Higham,female,Northern Superchargers,19,15,2,1.0,8,2,0,12.0,182,235,29-3,2,4,1
ML Kirk,female,Trent Rockets,3,0,0,,0,0,0,,0,0,,0,1,0
T Graves,female,Trent Rockets,2,4,1,,7,0,0,4.0,0,0,,0,0,0
BF Smith,female,Trent Rockets,22,481,21,,366,64,14,70.0,379,550,21-3,13,3,3
HK Matthews,female,Welsh Fire,17,464,17,1.0,366,70,3,71.0,224,321,23-3,2,2,2
AJ Macleod,female,Welsh Fire,5,33,5,2.0,33,2,0,19.0,5,10,,0,0,0
G Redmayne,female,Welsh Fire,8,187,8,2.0,174,21,0,38.0,0,0,,0,2,0
SJ Taylor,female,Welsh Fire,7,78,6,,68,8,0,29.0,0,0,,0,1,1
SN Luff,female,London Spirit,15,153,14,3.0,142,13,3,39.0,0,0,,0,3,0
GM Hennessy,female,Welsh Fire,8,58,6,2.0,75,3,0,23.0,110,156,25-2,5,3,0
P Cleary,female,Welsh Fire,8,18,6,1.0,22,1,0,8.0,130,180,21-2,10,3,0
A Griffiths,female,Welsh Fire,15,23,5,1.0,29,1,0,8.0,145,203,17-3,6,1,0
KL George,female,Manchester Originals,20,56,14,5.0,67,7,0,14.0,60,127,27-1,11,8,0
N Harvey,female,Welsh Fire,8,3,3,1.0,7,0,0,3.0,95,113,11-2,2,2,0
L Winfield,female,Oval Invincibles,21,447,21,3.0,370,60,5,74.0,0,0,,0,4,1
JI Rodrigues,female,Northern Superchargers,19,453,18,1.0,329,71,1,92.0,10,18,,0,3,2
L Wolvaardt,female,Manchester Originals,19,614,19,4.0,512,72,5,90.0,0,0,,0,9,2
HJ Armitage,female,Northern Superchargers,19,297,18,2.0,274,29,0,46.0,33,60,8-1,7,3,0
BAM Heath,female,Northern Superchargers,22,191,20,2.0,140,26,5,57.0,0,0,,0,8,1
AN Davidson-Richards,female,Northern Superchargers,23,192,18,8.0,185,14,2,42.0,368,555,20-4,20,7,3
L Harris,female,Welsh Fire,14,152,12,2.0,82,21,7,37.0,0,0,,0,5,0
LCN Smith,female,Northern Superchargers,20,50,9,6.0,45,4,0,17.0,371,425,16-3,8,5,0
EA Russell,female,Northern Superchargers,8,1,1,1.0,1,0,0,1.0,105,142,25-1,5,4,0
PC Graham,female,Manchester Originals,8,1,1,1.0,1,0,0,1.0,90,156,19-1,4,1,0
KA Levick,female,Birmingham Phoenix,20,4,3,2.0,7,0,0,2.0,370,408,10-2,9,1,0
J Gardner,female,Trent Rockets,15,82,11,2.0,64,6,3,17.0,5,10,,2,10,0
CM Taylor,female,Southern Brave,3,0,0,,0,0,0,,35,65,19-1,2,0,0
E Windsor,female,Welsh Fire,13,18,4,3.0,24,2,0,13.0,0,0,,0,3,0
TT Beaumont,female,Welsh Fire,20,567,20,2.0,442,79,7,118.0,0,0,,0,8,1
HL Baker,female,Birmingham Phoenix,14,10,7,3.0,12,1,0,5.0,195,236,19-2,14,2,0
K Moore,female,Southern Brave,14,12,3,1.0,14,1,0,11.0,223,263,15-3,6,3,0
E Gray,female,Oval Invincibles,17,21,4,1.0,19,1,1,16.0,198,246,14-2,3,3,0
GK Davis,female,Trent Rockets,9,3,1,1.0,2,0,0,3.0,55,67,29-2,6,0,0
N Harman,female,London Spirit,4,0,0,,0,0,0,,0,0,,0,2,0
S Munro,female,London Spirit,12,11,4,1.0,11,1,0,5.0,95,150,20-2,14,3,0
PA Franklin,female,Birmingham Phoenix,5,17,3,1.0,17,1,0,7.0,40,79,20-1,3,4,0
N Brown,female,Manchester Originals,4,0,0,,0,0,0,,28,40,1-0,3,2,0
HE Jones,female,Manchester Originals,10,2,1,,4,0,0,2.0,170,201,18-3,7,3,0
R Slater,female,Northern Superchargers,3,0,0,,0,0,0,,20,42,13-0,2,0,0
G Scrivens,female,London Spirit,12,95,8,4.0,107,8,0,26.0,83,97,11-2,1,0,0
SL Kalis,female,Birmingham Phoenix,6,83,5,2.0,65,11,1,28.0,0,0,,0,2,0
BA Langston,female,Northern Superchargers,5,0,1,1.0,1,0,0,0.0,69,119,22-0,7,0,0
AE Dyson,female,Manchester Originals,2,0,0,,0,0,0,,15,31,,0,0,0
GH Lewis,female,Northern Superchargers,3,25,3,,35,3,1,16.0,0,0,,0,3,0
NAJ Wraith,female,London Spirit,3,4,2,2.0,5,0,0,3.0,0,0,,0,1,0
M Kelly,female,Northern Superchargers,18,220,15,1.0,186,30,1,69.0,5,6,,0,6,1
AJ Healy,female,Northern Superchargers,6,129,6,,85,22,3,46.0,0,0,,0,1,0
JL Gunn,female,Northern Superchargers,6,29,3,3.0,15,5,0,15.0,75,124,24-2,0,3,0
SW Bates,female,Oval Invincibles,14,367,14,1.0,316,41,6,79.0,0,0,,0,9,2
KM Chathli,female,Oval Invincibles,10,6,4,,19,0,0,3.0,0,0,,0,2,0
KE White,female,Oval Invincibles,3,10,2,1.0,7,0,1,9.0,0,0,,0,1,0
R MacDonald-Gay,female,Oval Invincibles,14,21,3,1.0,17,0,2,19.0,146,221,18-5,17,2,1
Sophia Smale,female,Oval Invincibles,14,12,2,1.0,11,2,0,7.0,230,255,26-3,3,5,0
BL Mooney,female,London Spirit,6,205,6,2.0,132,32,1,97.0,0,0,,0,2,1
AC Kerr,female,London Spirit,12,252,12,3.0,203,30,0,60.0,210,267,13-4,2,7,0
ML Schutt,female,London Spirit,6,3,1,,7,0,0,3.0,106,137,18-2,7,3,0
FG Kemp,female,Southern Brave,17,154,14,3.0,114,14,5,41.0,70,119,21-1,4,3,0
M Strano,female,Southern Brave,1,0,0,,0,0,0,,20,34,34-0,3,0,0
EJ Villani,female,Trent Rockets,7,182,7,1.0,154,28,1,55.0,0,0,,0,4,1
A King,female,Trent Rockets,14,46,10,4.0,40,1,3,19.0,265,284,15-4,10,4,1
AE Satterthwaite,female,Manchester Originals,4,24,3,,34,3,0,13.0,0,0,,0,1,0
A Campbell,female,Manchester Originals,10,97,8,1.0,134,8,0,28.0,0,0,,0,0,0
G Potts,female,Trent Rockets,6,4,1,1.0,4,0,0,4.0,55,78,,3,1,0
SFM Devine,female,Birmingham Phoenix,13,294,13,,216,36,9,53.0,99,162,18-1,10,5,0
EA Perry,female,Birmingham Phoenix,6,134,6,2.0,98,17,2,58.0,0,0,,0,6,1
S Molineux,female,Birmingham Phoenix,6,65,5,1.0,55,5,1,29.0,112,110,11-2,4,2,1
RL Haynes,female,Welsh Fire,4,35,4,,34,4,1,14.0,0,0,,0,3,0
A Sutherland,female,Welsh Fire,6,88,6,1.0,73,5,3,34.0,92,130,8-1,15,5,0
L Filer,female,London Spirit,12,54,6,3.0,39,4,2,21.0,161,235,14-1,19,2,0
C Nicholas,female,Welsh Fire,14,5,4,2.0,10,0,0,3.0,201,250,18-2,8,5,0
TM McGrath,female,Southern Brave,7,70,6,,75,9,0,31.0,84,121,36-2,9,4,1
A Cranstone,female,Oval Invincibles,1,18,1,,21,2,0,18.0,0,0,,0,0,0
LMM Tahuhu,female,Manchester Originals,2,1,1,,1,0,0,1.0,25,60,26-0,0,1,0
NJ Carey,female,Welsh Fire,4,76,4,,67,9,0,28.0,60,92,19-3,4,1,1
ML Green,female,Welsh Fire,1,10,1,,13,1,0,10.0,0,0,,0,0,0
G Ballinger,female,Northern Superchargers,12,1,2,1.0,6,0,0,1.0,165,207,28-3,9,0,0
RA Fackrell,female,Birmingham Phoenix,1,2,1,,2,0,0,2.0,20,19,19-1,2,0,0
D Mullan,female,Manchester Originals,1,9,1,,10,1,0,9.0,0,0,,0,0,0
OJ Pope,male,Welsh Fire,2,10,2,,14,1,0,10.0,0,0,,0,0,0
A Zampa,male,Oval Invincibles,7,26,3,2.0,24,3,0,14.0,130,159,19-2,3,2,0
Noor Ahmad,male,Welsh Fire,1,9,1,1.0,4,0,1,9.0,15,32,32-0,2,0,0
MP Stoinis,male,Southern Brave,5,59,5,1.0,53,4,2,37.0,55,89,12-1,8,2,0
JK Fuller,male,Southern Brave,13,62,7,1.0,55,7,0,25.0,200,286,20-2,10,4,0
Rehan Ahmed,male,Southern Brave,14,37,5,3.0,36,4,0,33.0,222,274,22-3,2,2,0
MG Hogan,male,Southern Brave,7,2,2,1.0,4,0,0,2.0,110,188,20-2,6,0,0
GJ Maxwell,male,London Spirit,4,116,4,1.0,77,16,3,43.0,25,16,6-1,0,4,0
KA Pollard,male,London Spirit,6,113,5,4.0,68,6,7,34.0,5,5,,0,3,0
NT Ellis,male,London Spirit,16,10,5,3.0,19,0,0,5.0,282,429,28-3,15,8,1
JM Cox,male,Oval Invincibles,13,359,11,2.0,250,38,9,73.0,0,0,,0,12,1
HWR Cartwright,male,Oval Invincibles,5,62,4,1.0,47,4,2,42.0,0,0,,0,6,0
Mohammad Hasnain,male,Oval Invincibles,5,11,1,1.0,4,1,1,11.0,70,138,30-2,23,0,0
WL Madsen,male,Manchester Originals,13,183,11,2.0,148,16,2,53.0,0,0,,0,3,0
AD Russell,male,Manchester Originals,6,148,6,2.0,88,9,12,64.0,75,137,7-1,7,5,1
PI Walter,male,Manchester Originals,20,203,17,2.0,143,15,10,28.0,245,338,20-3,7,8,0
AJ Turner,male,Manchester Originals,13,153,12,5.0,96,10,6,26.0,20,31,7-1,0,7,0
SA Abbott,male,Manchester Originals,5,11,2,,11,0,1,10.0,79,149,9-4,12,8,1
F du Plessis,male,Northern Superchargers,8,134,8,,99,11,7,56.0,0,0,,0,2,0
MS Pepper,male,London Spirit,9,81,8,1.0,68,11,1,21.0,0,0,,0,3,0
AJ Hose,male,Northern Superchargers,16,316,14,2.0,205,33,12,59.0,0,0,,0,3,0
DJ Bravo,male,Northern Superchargers,6,27,4,2.0,25,3,0,19.0,120,182,29-3,8,1,0
DR Mousley,male,Birmingham Phoenix,7,54,7,,55,4,1,15.0,14,18,1-1,1,2,0
GL van Buuren,male,Birmingham Phoenix,1,1,1,1.0,2,0,0,1.0,10,28,28-0,0,1,0
KW Richardson,male,Birmingham Phoenix,14,23,6,3.0,21,2,1,9.0,209,303,32-4,7,3,2
DR Sams,male,Trent Rockets,16,233,11,2.0,128,17,15,55.0,291,491,27-4,21,5,0
RR Rossouw,male,Oval Invincibles,6,70,6,,62,7,2,24.0,0,0,,0,3,0
DA Miller,male,Welsh Fire,7,73,7,1.0,80,2,2,35.0,0,0,,0,3,0
GLS Scrimshaw,male,Welsh Fire,4,5,1,1.0,3,1,0,5.0,70,128,23-2,1,1,0
T Stubbs,male,Manchester Originals,9,157,9,1.0,107,7,11,46.0,75,114,6-2,2,9,0
MS Wade,male,London Spirit,15,291,13,1.0,192,29,10,81.0,0,0,,0,5,1
HJH Brookes,male,Birmingham Phoenix,6,4,3,2.0,6,0,0,2.0,95,159,25-5,5,6,0
CN Miles,male,Northern Superchargers,6,1,1,1.0,2,0,0,1.0,74,137,31-2,11,3,0
JA Haynes,male,Oval Invincibles,1,2,1,,2,0,0,2.0,0,0,,0,1,0
D Pretorius,male,Welsh Fire,5,71,4,1.0,40,6,5,29.0,85,135,30-2,6,3,0
MT Stanley,male,Manchester Originals,3,0,0,,0,0,0,,45,85,23-1,0,0,0
D Moriarty,male,Southern Brave,1,1,1,,3,0,0,1.0,20,28,28-0,1,0,0
BR McDermott,male,London Spirit,5,157,5,,118,12,6,59.0,0,0,,0,1,0
J Little,male,Manchester Originals,12,6,3,2.0,8,1,0,5.0,192,272,13-5,16,1,1
JG Bethell,male,Birmingham Phoenix,3,10,3,,13,1,0,10.0,0,0,,0,0,0
S Baker,male,Southern Brave,3,0,1,,2,0,0,0.0,45,75,28-2,5,0,0
IS Sodhi,male,Trent Rockets,8,2,2,1.0,4,0,0,1.0,147,216,14-2,11,2,0
WD Parnell,male,Northern Superchargers,9,50,5,3.0,34,4,2,14.0,155,256,17-4,1,0,1
P Hatzoglou,male,Oval Invincibles,2,1,1,1.0,1,0,0,1.0,35,60,29-1,13,0,0
BL D'Oliveira,male,Birmingham Phoenix,2,10,2,,22,0,0,8.0,10,10,4-0,0,0,0
BJ Dwarshuis,male,Birmingham Phoenix,1,0,1,,2,0,0,0.0,15,23,23-0,2,0,0
SG Budinger,male,Birmingham Phoenix,1,0,1,,1,0,0,0.0,0,0,,0,0,0
T Sangha,male,Birmingham Phoenix,4,15,2,2.0,11,1,1,13.0,70,82,15-3,8,0,0
RJ Gleeson,male,Manchester Originals,8,8,2,1.0,10,1,0,8.0,138,230,37-3,14,0,0
M Brown,female,Southern Brave,9,33,6,5.0,27,4,0,15.0,35,75,8-1,6,1,0
MLL Taylor,female,Southern Brave,2,0,0,,0,0,0,,35,43,18-3,0,0,0
